État physique;Nom du produit (sur packaging);IUPAC - Formule Brute;Quantités en stock;Unité;Étagère;Pictogrammes;Mars 2025;Juillet 2025;Juillet 2026;Besoin URGENT;;;;;;;;;;
SOLIDE;CARBONATE DISODIQUE;CARBONATE DE SODIUM;100;g;5 LP;SGH07;100;;;;;;;;;;;;;
SOLIDE;CARBONE + OXYDE DE CUIVRE II;;80;g;6;;80;;;;;;;;;;;;;
SOLIDE;CARBOXYMÉTHYL CELLULOSE;CARBOXYMÉTHYLCELLULOSE;5;g;6;NON;5;;;;;;;;;;;;;
LIQUIDE;CARMIN ALUNE GRENACHER;;75;mL;6;;75;;;;;;;;;;;;;
LIQUIDE;CARMIN INDIGO;;0;mL;;;;;;;;;;;;;;;;
LIQUIDE;CARMINO VERT DE MIRANDE;;0;mL;;;;;;;;;;;;;;;;
SOLIDE;CERIUM IV SULFATE;SULFATE DE CÉRIUM (IV) - Ce(SO4)2;75;g;4;SGH05 SGH09;75;;;;;;;;;;;;;
SOLIDE;CHARBON ANIMAL;;200;g;6;;200;;;;;;;;;;;;;
SOLIDE;CHARBON ANIMAL EN POUDRE;;700;g;5 LP;;700;;;;;;;;;;;;;
SOLIDE;CHARBON VEGETAL;;1240;g;6;;1240;;;;;;;;;;;;;
SOLIDE;CHLORURE D'AMMONIUM;CHLORURE D'AMMONIUM - NH4Cl;500;g;5 LP;SGH07;500;;;;;;;;;;;;;
SOLIDE;CHLORURE DE CUIVRE;CHLORURE DE CUIVRE (I) - CuCl;200;g;5 LP;NON;200;;;;;;;;;;;;;
SOLIDE;CHLORURE DE MANGANÈSE;CHLORURE DE MANGANÈSE (II) - MnCl2;150;g;7;NON;150;;;;;;;;;;;;;
SOLIDE;CHROMATE DE POTASSIUM;CHROMATE DE POTASSIUM - K2CrO4;50;g;5 LP;SGH07 SGH08 SGH09;50;;;;;;;;;;;;;
SOLIDE;COBALT CHLORURE;CHLORURE DE COBALT (II) - CoCl2;1250;g;6;SGH07 SGH08 SGH09;1250;;;;;;;;;;;;;
SOLIDE;COCHENILLES PULVÉRISÉES;;80;g;6;;80;;;;;;;;;;;;;
SOLIDE;CUIVRE EN TOURNURE;CUIVRE - Cu;350;g;6;NON;350;;;;;;;;;;;;;
SOLIDE;CUIVRE EN TOURNURES;CUIVRE - Cu;1040;g;5 LP;NON;1040;;;;;;;;;;;;;
SOLIDE;CUIVRE I BROMURE;BROMURE DE CUIVRE (I) - CuBr;80;g;6;SGH07;80;;;;;;;;;;;;;
SOLIDE;CUIVRE II BROMURE;BROMURE DE CUIVRE (II) - CuBr2;500;g;6;NON;500;;;;;;;;;;;;;
SOLIDE;CUIVRE II CHLORURE;CHLORURE DE CUIVRE (II) - CuCl2;900;g;5 LP;NON;900;;;;;;;;;;;;;
SOLIDE;CUIVRE II NITRATE;NITRATE DE CUIVRE (II) - Cu(NO3)2;30;g;5 LP;SGH03 SGH05 SGH07;30;;;;;;;;;;;;;
SOLIDE;CUIVRE II OXYDE NOIR;OXYDE DE CUIVRE (II) - CuO;100;g;5 LP;SGH07 SGH09;100;;;;;;;;;;;;;
